,company,job_title,location,salary,summary,est_salary
19,The Iconic,Data Scientist,Sydney Central Business District NSW,0,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",80000
20,OpenText,Data Scientist,Sydney NSW,0,The Data Scientist will be mostly responsible for building machine-learning models using Jupyter Notebook programming in Python and R....,80000
21,HDR,Data Scientist,North Sydney NSW,0,"Data Scientist - (149209). Data Scientist, Data Analyst, Predictive Analytics, Machine Learning, Statistics, Analytics, Operations Research, Econometrics, Data...",80000
22,CBRE Asia Pacific,Data Scientist,Sydney NSW,0,Manage ongoing data maintenance and governance. Harness vast amounts of data to optimise business results....,80000
23,Teradata,Data Scientist,Melbourne VIC,"$73,300 - $108,400 a year","The Data Scientist captures, sorts, and determines what is relevant in the data. The Data Scientist gathers intelligence from the massive streams of data that...",80000
24,Sirius People,Data Scientist - South Eastern Suburbs - Contract,Sydney NSW,0,Ideally you will be a Junior to mid level experienced Data Scientist reporting into the Senior team members. This role is not suitable for established or Senior...,80000
25,KPMG,Data Engineers,Sydney NSW,0,Work with Data Scientists & Business Stakeholders to understand data needs. Experience with data modelling techniques such as Data Vault....,80000
26,QBE,Data Scientist,New South Wales,0,"Leading analytical conversation with business centred on “The art of the possible using data science”, exploring data from a modelling perspective, and...",80000
27,BCG Digital Ventures,Senior Data Scientist,Sydney NSW,0,"As a Senior Data Scientist, you will:. As a Senior Data Scientist, you will need:. Work closely with cross-functional teams of data scientists, product managers...",80000
28,KPMG,Data & Analytics,Sydney NSW,0,"Defining data strategy & governance frameworks, data lifecycle management, business & technical operating models for data management, risk/opportunity...",80000
29,Optimum Patient Care,Data Scientist,Corinda QLD,0,Developing data collection systems which allow the integration of primary and secondary data sources in Australia....,80000
30,International Institute of Data & Analytics,Senior Data Analyst/Scientist,Sydney NSW,0,"In data science and big data analytics, the IDA creates enablers for:. Lead and mentor junior data analysts/scientists in a closely collaborative data science...",80000
31,D2D CRC,Analyst Programmer - Senior Data Scientist,Adelaide SA,"$95,000 - $130,000 a year","Demonstrated experience with key technology areas including deep learning, data analytics, data mining, MCMC modelling, visualisation, and Big Data;...",80000
32,Atlassian,"Principal Data Scientist, Experimentation",Sydney NSW,0,We a looking for a Principal Data Scientist to impact the way all teams at Atlassian define metrics and analyse experimental results....,80000
33,Microsoft,Data & Applied Scientist,Canberra ACT,0,"The data scientists, data engineers and program managers in the team will lead the post-sales technical work for developing and implementing end-to-end...",80000
34,Woolworths Supermarkets,Lead Data Scientist - R&D,New South Wales,0,Lead Data Scientist - R&D | Surry Hills. Experience in leading and mentoring teams of data scientists. Lead and mentor a team of data scientists to deliver the...,80000
35,EY,Data Scientist - Melbourne,Melbourne VIC,0,"Our Advanced Analytics practice in Melbourne is looking for a talented, inquisitive and proactive Data Scientist to join our team....",80000
36,Morgan McKinley,Data Scientist,Sydney NSW,"$100,000 - $120,000 a year","My client, a well-established Australian institution is looking for an experienced Data Scientist to join their analytics team....",80000
37,The Iconic,Data Scientist - Finance Focus,Sydney Central Business District NSW,0,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",80000
38,Office of Environment and Heritage,"Senior Scientist, Climate and Atmospheric (2 positions)",Sydney NSW,"$128,119 a year","Are you a scientist who is passionate about our atmospheric environment? Maintain high standards of communication, collaboration, data and knowledge management...",80000
39,Sportsbet.com.au,Data Scientist,Melbourne VIC,0,We are looking for a Data Scientist to bring our Machine Learning capability to the next level. Skills in Data engineering and/or Software engineering are a...,80000
40,Victor Chang Cardiac Research Institute,POST DOCTORAL SCIENTIST,Darlinghurst NSW,0,Are you an accomplished scientist with a talent for complex data analysis? Visualisation and interpretation of genomic data....,80000
41,CSIRO,Genomic Selection Research Scientist,Australia,"$97,000 - $105,000 a year",Are you a Research Scientist experienced in quantitative genetics? CSIRO’s Agriculture and Food team are looking to appoint a Research Scientist within the...,80000
42,Keegan Adams,Data Scientist,Sydney NSW,"$110,000 a year","Strong data modelling and data management. Data management, including; Data analysis experience in a commercial environment....",80000
43,Alibaba,Alibaba Cloud Data Scientist Melbourne,Melbourne VIC,0,Develop new data attributes of users from existing data source and develop novel applications including data driven products based on that....,80000
44,Fortescue Metals Group,H&S Data Scientist / Engineer,Perth WA,0,Ability and experience dealing with granular data and diverse data. Populates data in the topology components specified in the data warehouse architecture....,80000
45,Michael Bailey Associates Pty Ltd,Data Scientist,Sydney NSW,"$100,000 a year","As a Data Scientist / Statistical Modeller under the supervision if the Lead Data Scientist the core responsibilities of the role will cover, but will not be...",80000
46,Alloc8 Recruitment Solutions Pty Ltd,Junior Data Scientist.,Sydney NSW,0,"The role will suit someone with 1-2 years experience working in a Database, Data Engineering and / or Data Scientist role bringing the following attributes:....",80000
47,CSIRO,Principal Research Scientist in Data Science,Melbourne VIC,"$131,000 - $145,000 a year",Join CSIRO's Data61 - Australia's largest data innovation group. CSIRO’s Data61 is seeking to appoint a principal research scientist to work within their Data...,80000
48,Coupa Software,Software Engineer (Data Scientist - Machine Learning - AI),Sydney NSW,0,"Strong problem/data quality solving skills and data governance. Passionate about machine learning, data structures, distributed computing and artificial...",80000
49,Omnicom Group,Senior Data Scientist,Sydney NSW,0,"As the Senior Data Scientist, you'll play a critical role in helping clients across multiple industries make data driven marketing decisions....",80000
50,BI & DW,Data Scientist,Sydney NSW,"$100,000 - $150,000 a year",Their Advanced Analytics division explores the science of data whether from traditional analytics to Big Data and they need new staff....,80000
51,Salt Recruitment,"Data Scientist - Consultant Sydney, Australia",Sydney NSW,"$100,000 - $120,000 a year","Data Modelling, client engagement, statistical modelling. I am currently working with one of the worlds largest and best branded digital technology...",80000
52,CSIRO,Research Scientist - Software Systems,Sydney NSW,"$95,000 - $103,000 a year","Join CSIRO's Data61 - Australia's largest data innovation group. Are you an experienced, published research scientist who understands Blockchain technology?...",80000
53,Culture Amp,Data Scientist,Melbourne VIC,0,Work alongside data scientists and domain specialists to create a solution; Work with the data science team to facilitate data driven product enhancements...,80000
54,Clemenger Group,Data Scientist,Melbourne VIC,0,"Performing data studies and data discovery around new data sources or new uses for existing data sources. Practical ability to visualize data, communicate the...",80000
55,APN Outdoor,Head of Data & Insights,Sydney NSW,0,Working with an experienced team of data scientists and analysts you will be responsible for transforming audience data into. Head of Data & Insights....,80000
56,Evolution Recruitment Solutions,Junior Data Scientist,Sydney NSW,0,"Overall, you may have up to 1.5-2 years' experience as a Data Scientist/upcoming Data Scientist. As a Junior Data Scientist, your responsibilities and learning...",80000
57,Mpire Network,Data Scientist,Perth WA,0,"Mpire is looking for a Data Scientist to derive business value using Artificial Intelligence (AI). Working with our big data cloud engineering team to analyse,...",80000
58,Greythorn Australia Old,Data Scientist,Sydney NSW,0,Years of relevant work experience in a data scientist role. Leverage existing data and new data from IoT to develop insights for the business....,80000
59,Victor Chang Cardiac Research Institute,LEAD SCIENTIST - CELL PHENOTYPING,Darlinghurst NSW,0,Are you an accomplished scientist with a talent for hands-on experimental work and complex data analysis? You will have primary responsibility for ensuring...,80000
60,KPMG,Senior Data Scientist,Melbourne VIC,0,Using Data Science techniques and Machine Learning skills over Big Data. Analysing data and providing consulting / advisory outcomes – using relational...,80000
61,Contino,"Data Scientist, Melbourne",Melbourne VIC,0,The Data Scientist at Contino works with customers to identify intelligence from massive streams of data. You can have an amazing data scientist without great...,80000
62,Triggr,Data Engineer,Sydney NSW,"$110,000 - $120,000 a year","The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data...",80000
63,Xero,Data Scientist,Melbourne VIC,0,Data mining and data visualisation. Enrich Xero data through 3rd parties and creating our own data sets. Financial and/or economic data analysis....,80000
64,Xpand Group,Data Scientist,Sydney NSW,0,"Applying statistical/machine learning techniques to build data products. Working with large data sets, discovering trends and patterns for the companies clients...",80000
65,Greythorn Australia,Data Scientist,Sydney NSW,0,Years of relevant work experience in a data scientist role. Leverage existing data and new data from IoT to develop insights for the business....,80000
66,Borderless Talent,Data Scientist,Sydney NSW,0,Years of relevant work experience in a data scientist role. Leverage existing data and new data from IoT to develop insights for the business....,80000
67,Profusion Group,Data Scientist,Sydney NSW,0,Due to this growth they are looking for an intuitive data scientist with strong analytical skills to join their data team....,80000
68,Australian Securities Exchange (ASX),Data Steward,Sydney NSW,0,Engineers and data scientists.  Experience in classifying data and understanding important attributes for data governance....,80000
69,Medius Health,Data Engineering Intern,Barangaroo NSW,0,SQL Data querying/general data analysis skills. We are looking for a Data Engineer Intern to join our growing team of AI Engineers and Research Scientists....,80000
70,Ethos BeathChapman,Data Scientist,Sydney NSW,0,"Data modelling skills. Passionate about data science. The hiring manager wants a Data Scientist with artificial intelligence, machine learning and natural...",80000
71,Michael Page,Data Scientist,Perth WA,"$100,000 - $150,000 a year","Data processing platform expertise (Hadoop, Spark, etc) with practical skills. Data science concepts (i.e., predictive algorithms, cognitive computing etc) and...",80000
72,Salt Recruitment,"Data Scientist Sydney, Australia",Sydney NSW,0,"I am currently recruiting for a Data Scientist for one of my clients, based in Sydney. As a Data Scientist you will be working closely with customers and drive...",80000
73,Australian Recruiting Group,Data Scientist,Sydney NSW,0,Karlka Recruiting Group has partnered with a highly reputable Federal Government Agency to engage multiple Data Scientists....,80000
74,Greythorn Specialist Technology Recruitment,Data Scientist,Sydney NSW,0,Data Scientist This well known and respected organisation is seeking to add yet another skilled Data Scientist to their team in a permanent role....,80000
75,Human Capital Management Australia,Data Scientist,Sydney NSW,0,"Data Driven Culture. This Global Bank have a reputation for innovation and excellence, and are down the maturity path in Data, harnessing Big Data & Data...",80000
76,Woolworths Supermarkets,Lead Data Scientist - Products,New South Wales,0,Lead Data Scientist - Products | Surry Hills. Experience in leading and mentoring teams of data scientists. Experienced with data analytics products and ideally...,80000
77,GlaxoSmithKline,Postdoctoral Scientist Clinical Pharmacology Modelling & Sim...,Sydney NSW,0,"Further analysis of relevant data may also be required, as appropriate. A new role for a Postdoctoral Scientist is available in the Ethnopharmacology Group...",80000
78,Bluefin Resources,Data Scientist / Consultancy,Sydney NSW,0,Data mining and cleansing of unstructured and structured data. Our client is seeking a Data Scientist with a strong academic background and impressive...,80000
79,Onset Group Pty Ltd,Data Scientist - Finance,Sydney NSW,"$140,000 - $150,000 a year",This Australian media company platform is looking to hire a gun Data Scientist. 3-5 years experience in investment banking or finance (core stakeholders will be...,80000
80,Cbus Super,Data Scientist,Melbourne VIC,0,Newly created role in growing BI and Analytics teamCompetitive remuneration including 16.5% superannuationGreat CBD locationCbus is seeking a highly driven Data...,80000
81,Firesoft Consulting,Data Scientist,Sydney Central Business District NSW,0,Data Scientist & Senior Data Scientist needed. Experience in leading and mentoring teams of data scientists....,80000
82,Chandler Macleod,Data Scientist,Perth WA,$70 - $80 an hour,"O Data wrangling / cleansing. Due to ongoing developments, our client requires the services of a Data Scientist to start immediately....",80000
83,ASC Pty Ltd,Software Engineer / Data Scientist,Adelaide SA,0,Software Engineer / Data Scientist. This position is for a Software Engineer / Data Scientist to perform work within the Software Engineering Department....,80000
84,Envato,Senior Data Scientist,Melbourne VIC,"$110,000 - $150,000 a year","As a Senior Data Scientist in the Analytics team at Envato, you will work closely with senior stakeholders, the Analytics Director, Product Managers, and the...",80000
85,Apex Asset Management,Research Analyst Internship,North Sydney NSW,0,"* *Looking for an ambitious, passionate Research Analyst Intern  3-5 months program  Equities, Corporate and Managed Investments* Apex Asset Management...",80000
86,Golder Associates,Environmental Scientist and/or Environmental Engineers (Cont...,St Leonards NSW,0,Interpretation and reporting of analytical data. Environmental Scientist and/or Environmental Engineers (Contaminated Land)....,80000
87,T+O+M Executive,Data Scientist- Contact,Sydney NSW,0,Data Scientist - Contract. This is a true Data Scientist role where you will need to be tool agnostic and capable of picking up and learning new technologies...,80000
88,T+O+M Executive,Data Scientist - Fraud,Sydney NSW,0,Data Scientist – Fraud. This is a true Data Scientist role where you will need to be tool agnostic and capable of picking up and learning new technologies...,80000
89,CSIRO,Research Scientist - Proteomics,Brisbane QLD,"$95,000 - $103,000 a year","Are you a dynamic, early to mid-career research scientist keen to liaise with a variety of CSIRO collaborators?...",80000
90,Correlate Resources,Lead Data Scientist - ASX top 50,Sydney NSW,"$90,000 - $120,000 a year","Leading a team of highly skilled Data Scientists (delivering thought leadership, work flow management, solution trouble shooting, best practice coaching, etc)....",80000
91,Kelly Services,Research Scientist,Sydney NSW,0,"6 months contract role Western Sydney based Great hourly rate The Role Reporting to the team leader, responsibilities will include: Designing and...",80000
92,NSW Health Service,Trainee,Sydney Western Suburbs NSW,0,Westmead Hospital is one of Australia’s largest centres for postgraduate training to specialist levels in all fields with over 100 PhD students and other...,80000
93,Peoplebank,IT Data Scientist,Sydney NSW,0,"Applies technical knowledge and experience in various data science areas such as artificial intelligence, machine learning, data mining, text mining, image...",80000
94,AECOM,Environmental Scientist - Geoscience and Remediation,Sydney NSW,0,+ Experience in data management software (ESDAT / Equis) and preparation of environmental reports. Reporting to the Workgroup Manager - Geosciences and...,80000
95,CSIRO,Senior Research Scientist in Data Science,Melbourne VIC,"$109,000 - $128,000 a year",Join CSIRO's Data61 - Australia's largest data innovation group. CSIRO’s Data61 is seeking to appoint a senior research scientist to work within their Data...,80000
96,Prospa,Head of Data & Insights,Sydney NSW,0,"Ability to lead, develop and expand a team of data scientists, business intelligence/analytic and data strategists as well as data engineers....",80000
97,See-Mode Technologies,Machine Learning- Medical Image Analysis,Sydney NSW,"$75,000 - $100,000 a year","A little about See-Mode Technologies: * See-Mode Technologies is a fast-growing medtech startup backed by tech VCs across APAC. At See-Mode, we work on...",80000
98,Macquarie Group Limited,Quantitative Analyst,Sydney NSW,0,"As a key member of the Decision Science team, you will be responsible for statistical modelling, data analysis and data profiling for quantifying various types...",80000
99,Shelde,Data Scientist Consultant - Melbourne,Melbourne VIC,0,"As a Data Scientist at Shelde, you will form an integral part of our Data Analytics practice. You will have proven Data Science work experience, with a...",80000
100,CSL Behring,Scientist,Parkville VIC,0,"Proficient in data analysis and reporting. Coordination, execution and real time data collection/entry/documentation of routine aseptic processing, dispensing...",80000
101,Hydrogen Group,Data Scientist,Perth WA,"$120,000 - $150,000 a year","Proven experience as a hands-on data scientist, formulating and delivering strategy and data solutions; A Data Scientist with strong development capability is...",80000
102,Youman Mind Over Data,ICT Systems Analyst (Data Science and Analytics),Willoughby NSW,"$100,000 - $130,000 a year","At least 4 years of IT project management, building multi-disciplinary teams of data scientists, analysts and BI experts and/or mentoring and teaching...",80000
103,Mintel Group,"Consumer Research Data Analyst, ANZ",Sydney NSW,0,Maintain data quality:. Consumer insights analyst of survey data:. Do you love finding the story in data? Monitor and manage the data quality process on a daily...,80000
104,Ethos BeathChapman,Data Scientist Consultant,Sydney NSW,0,We are looking for a Data Scientist Consultant for one of our data and analytics consultancy clients based in Sydney. Data modelling skills....,80000
105,Themesoft Inc,Data Scientist / Machine Learning,Perth WA,"$140,000 - $160,000 a year",Data sets by using big data and analytics services available in major Cloud platforms (e.g. Ability to use data visualisation tools (e.g....,80000
106,Mintel,Consumer Research Data Analyst,Sydney NSW,0,Maintain data quality:. Consumer insights analyst of survey data:. Do you love finding the story in data? Monitor and manage the data quality process on a daily...,80000
107,Link Group,Quantitative Analyst,Sydney NSW,0,Benchmarking and modelling data. Provide data modelling and analysis assistance to other divisions of the organisation....,80000
108,General Assembly,Local Instructor - Data Science Immersive (Full-time Contrac...,Sydney NSW,0,Our full-time Data Science Immersive is a life-changing educational experience where our students learn the skills and mindsets to take on new careers as data...,80000
109,Susquehanna International Group,Quantitative Analyst,Sydney NSW,0,"To do this, you will have access to large data sets, often terabytes of data, containing billions of records daily....",80000
110,Talent International,Data Scientist,Western Australia,0,You'll be joining a new team of Data Scientists to embark on the company's journey to mature their data function and offer better business insights....,80000
111,bar360,Software Engineer (Data),Sydney NSW,0,We are currently looking to bloster our young team with an experienced Big Data Engineers who share similar passion for deploying insightful data solutions...,80000
112,CSL Behring,Formulation Development Scientist,Parkville VIC,0,Scientist to join the Formulation Development team within the R&D Bioprocess Development group located at Parkville....,80000
113,QBE,Data Specialist,New South Wales,0,"The Data Specialist shall be an expert in data engineering, data flow development and analysis activities. Solid understanding of data engineering, information...",80000
114,Shelde,Data Scientist Consultant - Sydney,Melbourne VIC,0,"As a Data Scientist at Shelde, you will form an integral part of our Data Analytics practice. You will have proven Data Science work experience, with a...",80000
115,Daisee,Technical Marketing Content Writer (freelance / part time),St Leonards NSW,"$60,000 - $120,000 a year","Daisee employs data scientists, software engineers and business professionals. Daisee is an artificial intelligence company that bridges the gap between the...",80000
116,Aurec Human Capital Group,Data Scientist: (Big Data/ML) Amazing Opportunity,Sydney NSW,0,"At least 5 yrs+ experience working as a Data Scientist with Big Data sets. Work with other software engineers, data analysts, data scientists, and decision...",80000
117,Tyro,Data Engineer,Sydney NSW,0,"Working on the R&D of novel solutions to Tyro’s data problems as part of a cross functional team including engineers, data scientists and analysts....",80000
118,AUREC,Data Scientist: (Big Data/ML) Amazing Opportunity,Sydney NSW,0,"At least 5 yrs+ experience working as a Data Scientist with Big Data sets. Work with other software engineers, data analysts, data scientists, and decision...",80000
119,Government of South Australia,MEDICAL SCIENTIST MES3 MICRIOBIOLOGY,Adelaide SA,"$110,000 - $149,000 a year",664445 Medical Scientist MeS3 Microbiology.pdf. Provide WGS training to other scientists and technicians in the Directorate....,80000
120,Talent Insights Group,Senior Data Scientist,Sydney NSW,0,"Data quality & data ops, product engineering developers, strategy consultants and several other strong data scientists....",80000
121,HDR,Data Engineer,North Sydney NSW,0,"Work to understand the needs of Data Scientists and Data Analysts and design, develop and document data objects to anticipate the needs of Data Scientists and...",80000
122,Australian Recruiting Group,Data Scientist - Senior,Sydney NSW,0,Karlka Recruiting Group has partnered with a highly reputable Federal Government Agency to engage multiple Senior Data Scientists....,80000
123,Rio Tinto,Scientist,Gladstone QLD,0,"Providing data analytics and interpretation. End to end capability in experimental design, conducting experiments, data analysis and interpretation plus...",80000
124,Mindcloud Consultants,Data Scientist (Advanced Analytics),Sydney NSW,0,"Experience with large data sets, including statistical analyses, data visualization, data mining and data cleansing/transformation and machine learning...",80000
125,CRU International Australia,Research Analyst,Sydney NSW,0,A strong commercial awareness and an analytical mind-set with the ability to quickly understand the intricacies and complexities of the economics and data that...,80000
126,Collabera,Data Scientist,Melbourne VIC,0,"Working with a small but growing team of dedicated data scientists and supported by Big Data Engineers, Business Intelligence professionals, you will be led by...",80000
127,Clicks IT Recruitment,Data Scientist and Lead Data Scientist,Sydney Central Business District NSW,0,Multiple roles | 2X Data Scientist | 1 X Lead Data Scientist | Sydney CBD |Salary negotiable. I am currently recruiting for Data Scientists to work for my...,80000
128,Arup,Data Lead,Sydney NSW,0,We are looking an experienced data scientist to take the role of Data Lead. Data Lead (SYD0000FY). Experience with data visualisation tools....,80000
129,CSK Nexus Pty Ltd,Data Scientist/Engineer,Melbourne VIC,"$160,000 a year","The Data Scientist contributes to the development and improvement of Digital products by applying advanced statistical and machine learning techniques, and data...",80000
130,Woolworths Supermarkets,Lead Data Scientist - Partners,New South Wales,0,Lead Data Scientist - Partners | Surry Hills. Experience in leading and mentoring teams of data scientists. Lead and mentor a team of data scientists to deliver...,80000
131,NSW Health Service,Unaccredited Trainee,Sydney Western Suburbs NSW,0,To assist in gather data in preparation for publication. Westmead Hospital is one of Australia’s largest centres for postgraduate training to specialist levels...,80000
132,CSIRO,Research Scientist - Computer Vision for 3D,Canberra ACT,"$97,000 - $105,000 a year","You will join the high-performing 3D Computer Vision Team at the CSIRO’s Data61, joining 600 other data science scientists building innovative solutions for...",80000
133,Fulsearch,Equities Research Analyst - Industrials,Sydney NSW,"$200,000 - $300,000 a year",Proven ability to critically review and analyse industry data. Equities Research Analyst – Industrials - Top Tier Mid-Cap stockbroker with a market leading ECM...,80000
134,CSIRO,Research Scientist - Medical Image Analysis,Brisbane QLD,"$95,000 - $103,000 a year","Developing novel algorithms for medical image quality assurance, registration, segmentation, and for the generation and validation of medical imaging data....",80000
135,Compas PTY,Data Scientist,Adelaide SA,0,The successful Data Scientists must have the following skills:. Are you a Data Scientist with the ability to perform analysis on large data sets to extract...,80000
136,Peoplebank,Data Scientist,Adelaide City Centre SA,0,"If you are a Data Scientist, we would like to hear from you! Experience as a Data Scientist/Data Miner. Push the frontiers of data analytics, exploring cutting...",80000
137,Freelancer.com,Junior Product Manager,Sydney NSW,"$70,000 - $90,000 a year","Product managers run a team of engineers, data scientists, growth hackers, graphic designers (and other roles)....",80000
138,Michael Page,Data Scientist - Education,Melbourne VIC,0,"2+ Years of Data Science experience. Maintain and build Big Data structures that currently exist. Work with existing team members to roadmap, and plan the...",80000
139,Talent International,Senior Data Scientist - Business Transformation Consultancy,New South Wales,"$130,000 - $150,000 a year",Join a team of transformation consultants who are data scientists. You have a PhD in a quantitative discipline and/or years of experience as a data scientist....,80000
140,AECOM,Environmental Scientist - Marine,Perth WA,0,"+ Statistical data analysis and GIS skills. You will also be responsible for key project related tasks as required, which may include development and...",80000
141,QuantumBlack,Data Engineer (Sydney),Sydney NSW,0,"Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models....",80000
142,CSIRO'S DATA61 EMPLOI,Research Scientist - Computer Vision for 3D,Canberra ACT,"$97,000 - $105,000 a year","You will join the high-performing 3D Computer Vision Team at the CSIRO’s Data61, joining 600 other data science scientists building innovative solutions for...",80000
143,CSL Behring,"Scientist, Product Characterisation (Mass Spectrometry)",Parkville VIC,0,"Scientist - Product Characterisation, reporting to the Product Characterisation Manager. Collate, analyse and present complex experimental data, in consultation...",80000
144,AECOM,Senior Environmental Scientist - Geoscience and Remediation,Sydney NSW,0,+ Experience in data management software (ESDAT / Equis) and preparation of environmental reports. Reporting to the Workgroup Manager - Geosciences and...,80000
145,Peoplebank,IT Senior Data Scientist,Sydney NSW,0,"Applies technical knowledge and experience in various data science areas such as artificial intelligence, machine learning, data mining, text mining, image...",80000
146,AustCorp Executive,Product Development Scientist,Sydney NSW,0,"Analyse data, generate reports and undertake mechanical testing. Work effectively within a team of peers, engineers and scientists....",80000
147,Manpower,Data Scientist,Adelaide SA,0,"Push the frontiers of data analytics, exploring cutting-edge machine learning and data science techniques in relation to business problems and opportunities....",80000
148,Greythorn Specialist Technology Recruitment,Data Scientist - Ecommerce,Sydney NSW,$900 a day,My Client is recruiting for an experienced Data Engineer / Data Scientist. Marketing leading Financial Service company seeks Ecommerce Data Scientist....,80000
149,Queensland Government,Senior Scientist,Brisbane QLD,0,"As Senior Scientist (Remote Sensing) you will:. Undertake field data collection, when required, using a range of techniques for calibration and validation of...",80000
150,Infinity Pro,Quantitative Data Analyst - Data Insight Analyst - Data Anal...,Parramatta NSW,0,Exposure to business intelligence / data visualization toolsets; Any experience with Qlik or Tableau / Data Vizualisation;...,80000
151,Redbubble,Data Scientist Software Engineer,Melbourne VIC,0,"As a Data Scientist Software Engineer, you will work closely with Engineers and Product Managers, to take the data science capability of Redbubble to the next...",80000
152,CSIRO,"Senior Research Scientist in Data Survey Design, Integration...",Canberra ACT,"$109,000 - $128,000 a year",Provide support for data integration to Australian Govt. Provide data science and software engineering support to the group....,80000
153,Deloitte,STEM Insight Night 2018 (Sydney),Sydney NSW,0,"We’re also tech heads, data lovers, maths nerds and scientists. Cyber – Our team of white-hat hackers, coders and infosec experts Digital – Our digital nerds...",80000
154,Chandler Macleod,Senior Data Scientist,Melbourne VIC,0,Senior Data Scientist or Lead Data Scientist. Our client is a large Australian organisation seeking an experienced Senior Data Scientist or Lead Data Scientist...,80000
155,The Walter and Eliza Hall Institute of Medical Res...,Postdoctoral Scientist (Robinson and Mueller Laboratory),Melbourne VIC,0,"In addition, you will have a strong working knowledge and/or experience in the design of epidemiological and randomised clinical trials, the implementation of...",80000
156,CSL Behring,"Scientist, Vascular Biology",Parkville VIC,0,Model microfluidic experiments and assist with the interpretation of data measured with these systems....,80000
157,JLL,Research Analyst,Sydney NSW,0,"Tracking a range of property data including vacancy, construction and sales and leasing transactions; An interest in the financial and real estate industry and...",80000
158,CSIRO,User Experience Designer,Australia,"$128,000 a year","Work collaboratively with stakeholders, users, developers and data scientists. This role will require you to take responsibility of the user experience and user...",80000
159,ARQ Group,Data Scientist,Melbourne VIC,0,"A data scientist with a mindset for data, strong communication, hacking & problem solving skills, the ability to showcase your insights to a non-technical...",80000
160,Morgan Consulting,Data Scientist -,Melbourne VIC,0,"Demonstrated experience as a Data Scientist within a large, complex environment. Able to work with large, fragmented data sets....",80000
